   No.   	Time N (s)	Depth N (µm)	Force N (mN)
  642	  133.208	     0.32067	     0.17919
  643	  133.411	     0.30177	     0.18284
  644	  133.614	     0.28188	     0.18089
  645	  133.801	     0.26178	     0.18939
  646	  134.004	     0.24259	     0.18227
  647	  134.207	     0.22147	     0.18874
  648	  134.409	     0.20098	     0.18656
  649	  134.612	     0.18098	     0.18060
  650	  134.815	     0.16163	     0.18313
  651	  135.002	     0.14075	     0.18908
  652	  135.205	     0.12137	     0.17741
  653	  135.408	     0.10129	     0.18645
  654	  135.611	     0.08055	     0.18085
  655	  135.813	     0.06081	     0.18563
  656	  136.001	     0.04203	     0.19619
  657	  136.203	     0.02050	     0.19208
  658	  136.406	    -0.00050	     0.19222
  659	  136.609	     0.01798	     0.18727	22	Load
  660	  136.812	     0.03840	     0.19612
  661	  137.015	     0.05891	     0.18872
  662	  137.202	     0.07728	     0.19475
  663	  137.405	     0.09878	     0.19127
  664	  137.607	     0.11962	     0.19238
  665	  137.810	     0.13897	     0.18824
  666	  138.013	     0.15863	     0.19585
  667	  138.216	     0.17806	     0.19023
  668	  138.403	     0.19853	     0.19084
  669	  138.606	     0.21976	     0.19550
  670	  138.809	     0.23940	     0.19592
  671	  139.011	     0.25852	     0.19805
  672	  139.214	     0.27784	     0.18996
  673	  139.401	     0.29719	     0.20106
  674	  139.604	     0.31935	     0.20179
  675	  139.807	     0.33728	     0.20021
  676	  140.010	     0.35783	     0.20136
  677	  140.213	     0.37711	     0.20407
  678	  140.415	     0.39967	     0.19637
  679	  140.603	     0.41764	     0.21296
  680	  140.805	     0.43940	     0.20878
  681	  141.008	     0.45892	     0.20247
  682	  141.211	     0.47634	     0.20339
  683	  141.414	     0.49817	     0.20786
  684	  141.601	     0.51702	     0.20156
